test_id,object_id,noise_sigma,init_x,init_y,final_reward,num_steps
379,69,0.01,-0.3921549975283234,0.13231704495468966,1.0,1
380,75,0.01,0.20800171201063022,-0.30993426795623624,1.0,1
381,17,0.05,-0.03272808929209542,-0.2891425055917236,1.0,1
382,13,0.1,-0.2073396618632459,-0.39209824947363353,0.0,1
383,12,0.01,-0.19764634828298908,0.19175309799647167,1.0,1
384,50,0.05,0.36845055915676184,-0.18613050968384626,0.0,1
385,78,0.01,-0.34311485203215786,-0.3724371220386477,1.0,1
386,15,0.01,-0.35532510215800794,-0.18743932041746536,1.0,1
387,16,0.05,0.2732314461588995,0.19007172259864524,0.0,1
388,81,0.1,0.19235966028704876,-0.12219217349472594,0.0,1
389,36,0.1,0.12098522571769676,0.029861231147238043,0.0,1
390,69,0.05,0.18870568507895213,0.014429129599415003,0.0,1
391,27,0.05,-0.04422038324508781,0.2138866336923696,1.0,1
392,54,0.05,0.17101058594844099,0.028003083039818466,0.0,1
393,18,0.05,-0.10108399929282985,-0.30135005428746386,1.0,1
394,4,0.05,0.18265721486048359,-0.19120529861562946,0.0,1
395,47,0.01,0.01320494341237105,0.27145108970674947,1.0,1
396,11,0.1,0.11540601333489986,0.2911408875075713,0.0,1
397,37,0.05,0.2617037031529912,-0.2565086597802873,0.0,1
398,53,0.1,-0.038523663127706165,0.06137137137804166,0.0,1
399,5,0.01,-0.34868908615469296,-0.23903572324849984,1.0,1
400,60,0.05,-0.05204420923461123,0.3952203895656563,0.0,1
401,19,0.01,-0.2018495902909644,-0.2160493523948425,0.0,1
402,32,0.1,-0.3942164756321729,-0.17477111973358017,0.0,1
403,69,0.01,-0.3921549975283234,0.13231704495468966,1.0,1
404,75,0.01,0.20800171201063022,-0.30993426795623624,1.0,1
405,17,0.05,-0.03272808929209542,-0.2891425055917236,1.0,1
406,13,0.1,-0.2073396618632459,-0.39209824947363353,0.0,1
407,12,0.01,-0.19764634828298908,0.19175309799647167,1.0,1
408,50,0.05,0.36845055915676184,-0.18613050968384626,0.0,1
409,78,0.01,-0.34311485203215786,-0.3724371220386477,1.0,1
410,15,0.01,-0.35532510215800794,-0.18743932041746536,1.0,1
411,16,0.05,0.2732314461588995,0.19007172259864524,0.0,1
412,81,0.1,0.19235966028704876,-0.12219217349472594,0.0,1
413,36,0.1,0.12098522571769676,0.029861231147238043,0.0,1
414,69,0.05,0.18870568507895213,0.014429129599415003,0.0,1
415,27,0.05,-0.04422038324508781,0.2138866336923696,1.0,1
416,54,0.05,0.17101058594844099,0.028003083039818466,0.0,1
417,18,0.05,-0.10108399929282985,-0.30135005428746386,1.0,1
418,4,0.05,0.18265721486048359,-0.19120529861562946,0.0,1
419,47,0.01,0.01320494341237105,0.27145108970674947,1.0,1
