test_id,object_id,noise_sigma,init_x,init_y,final_reward,num_steps
137,18,0.05,-0.10108399929282985,-0.30135005428746386,1.0,1
138,4,0.05,0.18265721486048359,-0.19120529861562946,0.0,1
139,47,0.01,0.01320494341237105,0.27145108970674947,1.0,1
140,11,0.1,0.11540601333489986,0.2911408875075713,0.0,1
141,37,0.05,0.2617037031529912,-0.2565086597802873,0.0,1
142,53,0.1,-0.038523663127706165,0.06137137137804166,0.0,1
143,5,0.01,-0.34868908615469296,-0.23903572324849984,1.0,1
144,60,0.05,-0.05204420923461123,0.3952203895656563,0.0,1
145,19,0.01,-0.2018495902909644,-0.2160493523948425,0.0,1
146,32,0.1,-0.3942164756321729,-0.17477111973358017,0.0,1
147,69,0.01,-0.3921549975283234,0.13231704495468966,1.0,1
148,75,0.01,0.20800171201063022,-0.30993426795623624,1.0,1
149,17,0.05,-0.03272808929209542,-0.2891425055917236,1.0,1
150,13,0.1,-0.2073396618632459,-0.39209824947363353,0.0,1
151,12,0.01,-0.19764634828298908,0.19175309799647167,1.0,1
152,50,0.05,0.36845055915676184,-0.18613050968384626,0.0,1
153,78,0.01,-0.34311485203215786,-0.3724371220386477,1.0,1
154,15,0.01,-0.35532510215800794,-0.18743932041746536,1.0,1
155,16,0.05,0.2732314461588995,0.19007172259864524,0.0,1
156,81,0.1,0.19235966028704876,-0.12219217349472594,0.0,1
157,36,0.1,0.12098522571769676,0.029861231147238043,0.0,1
158,69,0.05,0.18870568507895213,0.014429129599415003,0.0,1
159,27,0.05,-0.04422038324508781,0.2138866336923696,1.0,1
160,54,0.05,0.17101058594844099,0.028003083039818466,0.0,1
161,18,0.05,-0.10108399929282985,-0.30135005428746386,1.0,1
162,4,0.05,0.18265721486048359,-0.19120529861562946,0.0,1
163,47,0.01,0.01320494341237105,0.27145108970674947,1.0,1
164,11,0.1,0.11540601333489986,0.2911408875075713,0.0,1
165,37,0.05,0.2617037031529912,-0.2565086597802873,0.0,1
166,53,0.1,-0.038523663127706165,0.06137137137804166,0.0,1
167,5,0.01,-0.34868908615469296,-0.23903572324849984,1.0,1
168,60,0.05,-0.05204420923461123,0.3952203895656563,0.0,1
169,19,0.01,-0.2018495902909644,-0.2160493523948425,0.0,1
170,32,0.1,-0.3942164756321729,-0.17477111973358017,0.0,1
171,69,0.01,-0.3921549975283234,0.13231704495468966,1.0,1
172,75,0.01,0.20800171201063022,-0.30993426795623624,1.0,1
173,17,0.05,-0.03272808929209542,-0.2891425055917236,1.0,1
174,13,0.1,-0.2073396618632459,-0.39209824947363353,0.0,1
175,12,0.01,-0.19764634828298908,0.19175309799647167,1.0,1
176,50,0.05,0.36845055915676184,-0.18613050968384626,0.0,1
177,78,0.01,-0.34311485203215786,-0.3724371220386477,1.0,1
178,15,0.01,-0.35532510215800794,-0.18743932041746536,1.0,1
179,16,0.05,0.2732314461588995,0.19007172259864524,0.0,1
180,81,0.1,0.19235966028704876,-0.12219217349472594,0.0,1
181,36,0.1,0.12098522571769676,0.029861231147238043,0.0,1
182,69,0.05,0.18870568507895213,0.014429129599415003,0.0,1
183,27,0.05,-0.04422038324508781,0.2138866336923696,1.0,1
184,54,0.05,0.17101058594844099,0.028003083039818466,0.0,1
185,18,0.05,-0.10108399929282985,-0.30135005428746386,1.0,1
186,4,0.05,0.18265721486048359,-0.19120529861562946,0.0,1
187,47,0.01,0.01320494341237105,0.27145108970674947,1.0,1
188,11,0.1,0.11540601333489986,0.2911408875075713,0.0,1
189,37,0.05,0.2617037031529912,-0.2565086597802873,0.0,1
190,53,0.1,-0.038523663127706165,0.06137137137804166,0.0,1
191,5,0.01,-0.34868908615469296,-0.23903572324849984,1.0,1
192,60,0.05,-0.05204420923461123,0.3952203895656563,0.0,1
193,19,0.01,-0.2018495902909644,-0.2160493523948425,0.0,1
194,32,0.1,-0.3942164756321729,-0.17477111973358017,0.0,1
195,69,0.01,-0.3921549975283234,0.13231704495468966,1.0,1
196,75,0.01,0.20800171201063022,-0.30993426795623624,1.0,1
197,17,0.05,-0.03272808929209542,-0.2891425055917236,1.0,1
198,13,0.1,-0.2073396618632459,-0.39209824947363353,0.0,1
199,12,0.01,-0.19764634828298908,0.19175309799647167,1.0,1
200,50,0.05,0.36845055915676184,-0.18613050968384626,0.0,1
201,78,0.01,-0.34311485203215786,-0.3724371220386477,1.0,1
202,15,0.01,-0.35532510215800794,-0.18743932041746536,1.0,1
203,16,0.05,0.2732314461588995,0.19007172259864524,0.0,1
204,81,0.1,0.19235966028704876,-0.12219217349472594,0.0,1
205,36,0.1,0.12098522571769676,0.029861231147238043,0.0,1
206,69,0.05,0.18870568507895213,0.014429129599415003,0.0,1
207,27,0.05,-0.04422038324508781,0.2138866336923696,1.0,1
208,54,0.05,0.17101058594844099,0.028003083039818466,0.0,1
209,18,0.05,-0.10108399929282985,-0.30135005428746386,1.0,1
210,4,0.05,0.18265721486048359,-0.19120529861562946,0.0,1
211,47,0.01,0.01320494341237105,0.27145108970674947,1.0,1
212,11,0.1,0.11540601333489986,0.2911408875075713,0.0,1
213,37,0.05,0.2617037031529912,-0.2565086597802873,0.0,1
214,53,0.1,-0.038523663127706165,0.06137137137804166,0.0,1
215,5,0.01,-0.34868908615469296,-0.23903572324849984,1.0,1
216,60,0.05,-0.05204420923461123,0.3952203895656563,0.0,1
217,19,0.01,-0.2018495902909644,-0.2160493523948425,0.0,1
218,32,0.1,-0.3942164756321729,-0.17477111973358017,0.0,1
219,69,0.01,-0.3921549975283234,0.13231704495468966,1.0,1
220,75,0.01,0.20800171201063022,-0.30993426795623624,1.0,1
221,17,0.05,-0.03272808929209542,-0.2891425055917236,1.0,1
222,13,0.1,-0.2073396618632459,-0.39209824947363353,0.0,1
223,12,0.01,-0.19764634828298908,0.19175309799647167,1.0,1
224,50,0.05,0.36845055915676184,-0.18613050968384626,0.0,1
225,78,0.01,-0.34311485203215786,-0.3724371220386477,1.0,1
226,15,0.01,-0.35532510215800794,-0.18743932041746536,1.0,1
227,16,0.05,0.2732314461588995,0.19007172259864524,0.0,1
228,81,0.1,0.19235966028704876,-0.12219217349472594,0.0,1
229,36,0.1,0.12098522571769676,0.029861231147238043,0.0,1
230,69,0.05,0.18870568507895213,0.014429129599415003,0.0,1
231,27,0.05,-0.04422038324508781,0.2138866336923696,1.0,1
232,54,0.05,0.17101058594844099,0.028003083039818466,0.0,1
233,18,0.05,-0.10108399929282985,-0.30135005428746386,1.0,1
234,4,0.05,0.18265721486048359,-0.19120529861562946,0.0,1
235,47,0.01,0.01320494341237105,0.27145108970674947,1.0,1
236,11,0.1,0.11540601333489986,0.2911408875075713,0.0,1
237,37,0.05,0.2617037031529912,-0.2565086597802873,0.0,1
238,53,0.1,-0.038523663127706165,0.06137137137804166,0.0,1
239,5,0.01,-0.34868908615469296,-0.23903572324849984,1.0,1
240,60,0.05,-0.05204420923461123,0.3952203895656563,0.0,1
241,19,0.01,-0.2018495902909644,-0.2160493523948425,0.0,1
242,32,0.1,-0.3942164756321729,-0.17477111973358017,0.0,1
243,69,0.01,-0.3921549975283234,0.13231704495468966,1.0,1
244,75,0.01,0.20800171201063022,-0.30993426795623624,1.0,1
245,17,0.05,-0.03272808929209542,-0.2891425055917236,1.0,1
246,13,0.1,-0.2073396618632459,-0.39209824947363353,0.0,1
247,12,0.01,-0.19764634828298908,0.19175309799647167,1.0,1
248,50,0.05,0.36845055915676184,-0.18613050968384626,0.0,1
249,78,0.01,-0.34311485203215786,-0.3724371220386477,1.0,1
250,15,0.01,-0.35532510215800794,-0.18743932041746536,1.0,1
251,16,0.05,0.2732314461588995,0.19007172259864524,0.0,1
252,81,0.1,0.19235966028704876,-0.12219217349472594,0.0,1
253,36,0.1,0.12098522571769676,0.029861231147238043,0.0,1
254,69,0.05,0.18870568507895213,0.014429129599415003,0.0,1
255,27,0.05,-0.04422038324508781,0.2138866336923696,1.0,1
256,54,0.05,0.17101058594844099,0.028003083039818466,0.0,1
257,18,0.05,-0.10108399929282985,-0.30135005428746386,1.0,1
258,4,0.05,0.18265721486048359,-0.19120529861562946,0.0,1
259,47,0.01,0.01320494341237105,0.27145108970674947,1.0,1
260,11,0.1,0.11540601333489986,0.2911408875075713,0.0,1
261,37,0.05,0.2617037031529912,-0.2565086597802873,0.0,1
262,53,0.1,-0.038523663127706165,0.06137137137804166,0.0,1
263,5,0.01,-0.34868908615469296,-0.23903572324849984,1.0,1
264,60,0.05,-0.05204420923461123,0.3952203895656563,0.0,1
265,19,0.01,-0.2018495902909644,-0.2160493523948425,0.0,1
266,32,0.1,-0.3942164756321729,-0.17477111973358017,0.0,1
267,69,0.01,-0.3921549975283234,0.13231704495468966,1.0,1
268,75,0.01,0.20800171201063022,-0.30993426795623624,1.0,1
269,17,0.05,-0.03272808929209542,-0.2891425055917236,1.0,1
270,13,0.1,-0.2073396618632459,-0.39209824947363353,0.0,1
271,12,0.01,-0.19764634828298908,0.19175309799647167,1.0,1
272,50,0.05,0.36845055915676184,-0.18613050968384626,0.0,1
273,78,0.01,-0.34311485203215786,-0.3724371220386477,1.0,1
274,15,0.01,-0.35532510215800794,-0.18743932041746536,1.0,1
275,16,0.05,0.2732314461588995,0.19007172259864524,0.0,1
276,81,0.1,0.19235966028704876,-0.12219217349472594,0.0,1
277,36,0.1,0.12098522571769676,0.029861231147238043,0.0,1
278,69,0.05,0.18870568507895213,0.014429129599415003,0.0,1
279,27,0.05,-0.04422038324508781,0.2138866336923696,1.0,1
280,54,0.05,0.17101058594844099,0.028003083039818466,0.0,1
281,18,0.05,-0.10108399929282985,-0.30135005428746386,1.0,1
282,4,0.05,0.18265721486048359,-0.19120529861562946,0.0,1
283,47,0.01,0.01320494341237105,0.27145108970674947,1.0,1
284,11,0.1,0.11540601333489986,0.2911408875075713,0.0,1
285,37,0.05,0.2617037031529912,-0.2565086597802873,0.0,1
286,53,0.1,-0.038523663127706165,0.06137137137804166,0.0,1
287,5,0.01,-0.34868908615469296,-0.23903572324849984,1.0,1
288,60,0.05,-0.05204420923461123,0.3952203895656563,0.0,1
289,19,0.01,-0.2018495902909644,-0.2160493523948425,0.0,1
290,32,0.1,-0.3942164756321729,-0.17477111973358017,0.0,1
291,69,0.01,-0.3921549975283234,0.13231704495468966,1.0,1
292,75,0.01,0.20800171201063022,-0.30993426795623624,1.0,1
293,17,0.05,-0.03272808929209542,-0.2891425055917236,1.0,1
294,13,0.1,-0.2073396618632459,-0.39209824947363353,0.0,1
295,12,0.01,-0.19764634828298908,0.19175309799647167,1.0,1
296,50,0.05,0.36845055915676184,-0.18613050968384626,0.0,1
297,78,0.01,-0.34311485203215786,-0.3724371220386477,1.0,1
298,15,0.01,-0.35532510215800794,-0.18743932041746536,1.0,1
299,16,0.05,0.2732314461588995,0.19007172259864524,0.0,1
300,81,0.1,0.19235966028704876,-0.12219217349472594,0.0,1
301,36,0.1,0.12098522571769676,0.029861231147238043,0.0,1
302,69,0.05,0.18870568507895213,0.014429129599415003,0.0,1
303,27,0.05,-0.04422038324508781,0.2138866336923696,1.0,1
304,54,0.05,0.17101058594844099,0.028003083039818466,0.0,1
305,18,0.05,-0.10108399929282985,-0.30135005428746386,1.0,1
306,4,0.05,0.18265721486048359,-0.19120529861562946,0.0,1
307,47,0.01,0.01320494341237105,0.27145108970674947,1.0,1
308,11,0.1,0.11540601333489986,0.2911408875075713,0.0,1
309,37,0.05,0.2617037031529912,-0.2565086597802873,0.0,1
310,53,0.1,-0.038523663127706165,0.06137137137804166,0.0,1
311,5,0.01,-0.34868908615469296,-0.23903572324849984,1.0,1
312,60,0.05,-0.05204420923461123,0.3952203895656563,0.0,1
313,19,0.01,-0.2018495902909644,-0.2160493523948425,0.0,1
314,32,0.1,-0.3942164756321729,-0.17477111973358017,0.0,1
315,69,0.01,-0.3921549975283234,0.13231704495468966,1.0,1
316,75,0.01,0.20800171201063022,-0.30993426795623624,1.0,1
317,17,0.05,-0.03272808929209542,-0.2891425055917236,1.0,1
318,13,0.1,-0.2073396618632459,-0.39209824947363353,0.0,1
319,12,0.01,-0.19764634828298908,0.19175309799647167,1.0,1
320,50,0.05,0.36845055915676184,-0.18613050968384626,0.0,1
321,78,0.01,-0.34311485203215786,-0.3724371220386477,1.0,1
322,15,0.01,-0.35532510215800794,-0.18743932041746536,1.0,1
